patent|abs|title1
09665831|A system and method are provided for shared machine learning. The method includes providing a model to a plurality of agents included in a machine learning system. The model specifies attributes and attribute value data types for an event in which the agents act. The method further includes receiving agent-provided inputs during an instance of the event. The agent-provided inputs include estimated attribute values that are consistent with the attribute value data types. The method also includes determining expertise weights for at least some agents in response to at least one ground-truth which is learned from the estimated attribute values. The method additionally includes determining an estimate value for one or more of the attributes using respective adaptive mixtures of the estimated attribute values.|Interactive learning
09666101|A multi-user medical robotic system for collaboration or training in minimally invasive surgical procedures includes first and second master input devices, a first slave robotic mechanism, and at least one processor configured to generate a first slave command for the first slave robotic mechanism by switchably using one or both of a first command indicative of manipulation of the first master input device by a first user and a second command indicative of manipulation of the second master input device by a second user. To facilitate the collaboration or training, both first and second users communicate with each other through an audio system and see the minimally invasive surgery site on first and second displays respectively viewable by the first and second users.|Multi-user medical robotic system for collaboration or training in minimally invasive surgical procedures
09666781|A thermal energy harvester and power conversion system employs a bleed air duct containing the flow of high temperature air from an engine. A lower temperature air source is included with an energy conversion device having a hot interface operably engaged to the bleed air duct and a cold interface operably engaged to the lower temperature air source. The energy conversion device generates electrical power from a thermal gradient between the bleed air duct and the lower temperature air source and the electrical power is routed to a power feeder.|Methods for recovering waste energy from bleed air ducts
09667501|In one embodiment, a state tracking engine (STE) defines one or more classes of elements that can be tracked in a network. A set of elements to track is determined from the one or more classes, and the set of elements is tracked in the network. Access to the tracked set of elements then provided via one or more corresponding application programming interfaces (APIs). In another embodiment, a metric computation engine (MCE) defines one or more network metrics to be tracked in the network. One or more tracked elements are received from the STE. The one or more network metrics are tracked in the network based on the received one or more tracked elements. Access to the tracked network metrics is then provided via one or more corresponding APIs.|Pre-processing framework component of distributed intelligence architectures
09667641|A security platform employs a variety techniques and mechanisms to detect security related anomalies and threats in a computer network environment. The security platform is "big data" driven and employs machine learning to perform security analytics. The security platform performs user/entity behavioral analytics (UEBA) to detect the security related anomalies and threats, regardless of whether such anomalies/threats were previously known. The security platform can include both real-time and batch paths/modes for detecting anomalies and threats. By visually presenting analytical results scored with risk ratings and supporting evidence, the security platform enables network security administrators to respond to a detected anomaly or threat, and to take action promptly.|Complex event processing of computer network data
09669541|Disclosed herein is a robot arm including a first joint portion connected to an end portion of a wire and operable to rotate when the wire is pulled, a second joint portion connected to the first joint portion through a link, and a wire guide composed of a rotational plate rotatably installed at the second joint portion and a pair of idle rollers provided to continuously contact the rotational plate, in which the wire passes between the idle rollers.|Robot arm and robot comprising the same
09669551|Technologies pertaining to a robotic hand are described herein. The robotic hand includes one or more fingers releasably attached to a robotic hand frame. The fingers can abduct and adduct as well as flex and tense. The fingers are releasably attached to the frame by magnets that allow for the fingers to detach from the frame when excess force is applied to the fingers.|Robotic hand and fingers
09669581|Method for manufacturing a base structure (8) of an aeronautical torsion box (1) for an aircraft (11) characterized in that it comprises the steps of: a.-providing at least a fresh skin (3), at least one fresh stringer (4), at least a fresh front spar (5) and fresh rear spar (6), b.-positioning the fresh skin (3), the at least one fresh stringer, the fresh spars (5, 6) in a curing tool in a configuration corresponding to that of a base structure (8), c.-subjecting the structure (8) to a single curing cycle, obtaining a cured base structure (8).|Method for manufacturing an aeronautical torsion box, torsion box and tool for manufacturing an aeronautical torsion box
09669920|A casing for a lifting aid for an aircraft, comprising at least one strake which extends essentially in a protruding manner in the direction of flight in relation to an outer surface of the casing. An aircraft including a lifting aid and such a type of casing.|Casing for a lifting aid
09669921|An active pylon noise control system for an aircraft includes a pylon structure connecting an engine system with an airframe surface of the aircraft and having at least one aperture to supply a gas or fluid therethrough, an intake portion attached to the pylon structure to intake a gas or fluid, a regulator connected with the intake portion via a plurality of pipes, to regulate a pressure of the gas or fluid, a plenum chamber formed within the pylon structure and connected with the regulator, and configured to receive the gas or fluid as regulated by the regulator, and a plurality of injectors in communication with the plenum chamber to actively inject the gas or fluid through the plurality of apertures of the pylon structure.|Active aircraft pylon noise control system
09669950|The present invention provides a capture mechanism for capturing and locking onto the Marman flange located on the exterior surfaces of spacecraft/satellites. The capture mechanism achieves its goal of quickly capturing a client spacecraft by splitting the two basic actions involved into two separate mechanisms. One mechanism performs the quick grasp of the target while the other mechanism rigidises that grasp to ensure that the target is held as firmly as desired.|Spacecraft capture mechanism
09670840|The present disclosure introduces a rotor assembly having a concentric arrangement comprising a rotating turbine portion, a cooling channel and an annular reinforcement wall. The concentric arrangement is configured to rotate around a common axis. Also introduced is a rotary engine comprising the rotor assembly, in which the cooling channel further functions as a rotating compressor portion. The rotary engine also comprises a stator assembly that itself comprises a static turbine portion positioned upstream of the rotating turbine portion, a static compressor portion positioned downstream of the rotating compressor portion, and a combustion chamber positioned downstream of the static compressor portion and upstream of the static turbine portion.|Rotor assembly having a concentric arrangement of a turbine portion, a cooling channel and a reinforcement wall
09670841|Systems and methods are provided for varying the exhaust gas recycle circuit of low emission gas turbines. In one or more embodiments, the systems and methods incorporate alternatives to the use of a direct contact cooler. In the same or other embodiments, the systems and methods incorporate alternatives intended to reduce or eliminate the erosion or corrosion of compressor blades due to the presence of acidic water droplets in the recycled gas stream.|Methods of varying low emission turbine gas recycle circuits and systems and apparatus related thereto
09670900|Rotor blade assemblies for wind turbines are provided. In one embodiment, a rotor blade assembly includes a rotor blade having exterior surfaces defining a pressure side, a suction side, a leading edge, and a trailing edge each extending between a tip and a root. The rotor blade further defines a span and a chord. A span-wise portion of the pressure side includes along a chord-wise cross-section a plurality of inflection points. The plurality of inflection points include a first inflection point and a second inflection point, the first and second inflections points positioned within approximately 50% of the chord from the leading edge.|Rotor blade assembly for wind turbine having load reduction features
09670901|A wind turbine blade airfoil trailing edge (TE) with a first waveform profile (44B, 44C, 44E) as seen from behind, formed by ruffles or alternating ridges (21) and valleys (22) formed on the airfoil (20) and ending at the trailing edge. The trailing edge may further include a second waveform profile (48B, 48C, 48E) as seen from above, resulting from serrations formed by an oblique termination plane (32B) of the trailing edge or by other geometry. The ridges and/or serrations may be asymmetric (44E, 48E) to increase a stall fence effect of the ridges on the suction side (SS) of the trailing edge. The first and second waveforms may have the same period (44B, 48B) or different periods (44C, 48C).|Trailing edge modifications for wind turbine airfoil
09671230|In one embodiment of the present invention, a wait time client enables prediction of wait times (e.g., time required to checkout at a grocery store) based on crowdsourced wait data. In operation, the wait time application downloads predicted wait data from a server. The predicted wait data reflects measured wait times for one or more location, such as the ticket line at a movie theater. The wait time client then selects a wait time data point that corresponds to a location of a point-of-interest. Based on the selected wait time data point, the wait time client determines a predicted wait time at the point-of-interest. Advantageously, by leveraging crowdsourced, deterministically measured wait times, the wait time clients enables the incorporation of realistic and up-to-date predicted wait times into the trip planning process.|Approaches to crowdsourced-based wait time estimates
09671860|A manipulation input device includes a master grip having a grip part and manipulation handles movably supported on the grip part, a spring configured to generate manipulation resistance in response to a displacement amount of the manipulation handles when the manipulation handles are manipulated, and a force magnitude adjusting unit configured to adjust the force magnitude of the manipulation resistance relative to the displacement amount.|Manipulation input device and manipulator system having the same
09672240|A mobile device initiates communication with a server through a location based service and sends a user generated submission and a geolocation to the server. The server identifies an incomplete entry in a geographic database based on the geolocation and generates a probe question for the incomplete entry. The probe question requests that a user visually inspect or photograph an object or area near the geolocation. The server analyzes the information provided by the user in order to update the geographic database.|Apparatus and method to update geographic database
09672320|A method of manufacturing an integrated circuit (IC) includes: receiving a target layout of the IC, decomposing the target layout into a plurality of sub-layouts for a multiple patterning process, identifying re-locatable pattern edges in the sub-layouts, and relocating the edges to improve manufacturability of the IC. In an embodiment, relocating the edges includes: choosing an evaluation index based on a target manufacturing process, moving one or more of the edges, calculating a score of manufacturability based on the evaluation index, and repeating the moving and the calculating until the score meets a threshold.|Method for integrated circuit manufacturing
09672470|A method/apparatus/system for generating a recommendation based on user interactions with nodes and associated tasks within a prerequisite graph. The recommendation is generated by identifying the user's current position within the prerequisite graph and identifying potential next nodes to which the user could move. Based on the user's past interactions with nodes and/or tasks within the prerequisite graph, the user's likelihood of successfully completing the potential next node is calculated, and a recommendation is made based on this calculated likelihood of the user successfully completing the potential next node.|Network-probability recommendation system
09672471|Systems, devices, and methods are described for detecting an embolus, thrombus, or a deep vein thrombus in a biological subject.|Systems, devices, and methods for detecting occlusions in a biological subject including spectral learning
09672550|Methods and systems can be provided for providing items manufactured on demand to users. A user request for an item can be received. The item can have 3D manufacturing instructions associated therewith. A delivery method for the item can be determined. A manufacturing apparatus can be selected to manufacture the item based on the 3D manufacturing instructions. Instructions can be sent to the manufacturing apparatus to manufacture the item based on the 3D manufacturing instructions. Delivery instructions can be provided for delivering the item according to the delivery method.|Fulfillment of orders for items using 3D manufacturing on demand
09672621|Methods and systems are described for hair transplantation and other surgical procedures on a body surface. Specifically, methods and systems for computer-implemented and/or robotic hair transplantation and other surgical procedures, using time constrained image processing techniques are described. In various examples, multiple images of a body surface may be divided into overlapping sub regions for comparison. In various other cases, a percentage of an image of a body surface to be processed may be adjusted based on a time constraint. In some implementations, the output of one of these methods may be used as input for the other method.|Methods and systems for hair transplantation using time constrained image processing
09672630|A contour line measurement apparatus includes an edge line extraction unit for setting a picture processing region and extracting an edge line from an object picture in each of the regions, an edge point generation unit for generating edge points which are intersections of the edge lines and epipolar lines, a corresponding point selection unit for selecting, from the plurality of edge points, a pair of edge points corresponding to the same portion of the reference contour line, and a three dimensional point calculation unit for calculating a three dimensional point on the contour line of the object on the basis of lines of sight of cameras which pass the pair of edge points.|Contour line measurement apparatus and robot system
09672760|A user-specific, electroencephalogram data-based secure encryption generator maps artificial neural network neuron elements to electroencephalogram data signals generated from scanning neural activity of a user while the user executes a mental activity. Weighting factors are trained to transform the electroencephalogram data signals into a first set of weighted signals that are different from weighted signals generated from scanning neural activity of the user while the user executes another, different activity, and from weighted signals generated from scanning neural activity of another user while executing a similar mental activity. The trained weighting factors are associated with the first set of electroencephalogram data signals and the current mental activity. Thus, a reproducible electroencephalogram encryption key is defined that is unique to the user as a function of one or both of the trained weighting factors and the first weighted set of electroencephalogram data signals.|Personalized EEG-based encryptor
09673071|A buffer station for thermal control of semiconductor substrates in a semiconductor substrate processing system is configured to interface with first and second vacuum transfer modules of the system so as to allow substrates to be transferred therebetween. The buffer station comprises a first vacuum transfer module interface configured to allow substrates to be transferred between the first vacuum transfer module and the buffer station, and a second transfer module interface configured to allow substrates to be transferred between the second vacuum transfer module and the buffer station. At least one buffer chamber between the first and second vacuum transfer module interfaces includes a lower pedestal configured to receive a substrate on a support surface thereof. One or more semiconductor substrate storage shelves are above the lower pedestal. Each shelf is configured to receive a substrate from the first or second vacuum transfer module and store the respective substrate thereon.|Buffer station for thermal control of semiconductor substrates transferred therethrough and method of transferring semiconductor substrates
09673751|The present invention relates to a rotating solar concentrating device wherein reflective sheets hung in a catenary trough shape capable of solar concentration may be protectively furled and balanced and rotated about a vertical axis. The reflective sheets may be furled to protect them from damage from wind, rain, and dust. In some embodiments, rotating parts of the device may be hung from supports above. In some embodiments, a furling mechanism may initiate protective furling in response to damaging environmental factors. Some embodiments may concentrate light on a photovoltaic cell wherein the photovoltaic cell is cooled by immersion in a heat pipe. In some embodiments, reflective surfaces may be supported by cables that are tensioned by a hanging, rotating ballast. In some embodiments, the device may be employed in a ganged array. In some embodiments, the invention may harvest wind energy as a vertical axis wind turbine (VAWT).|Rotating furling catenary solar concentrator
09675421|Devices, systems, and methods are disclosed for cancelling movement of one or more joints of a telesurgical manipulator to effect manipulation movement of an end effector. Methods include calculating movement of joints within a null-perpendicular space to effect desired end effector movement while calculating movement of one or more locked joints within a null-space to cancel the movement of the locked joints within the null-perpendicular-space. Methods may further include calculating movement of one or more joints to effect an auxiliary movement or a reconfiguration movement that may include movement of one or more locked joints. The auxiliary and reconfiguration movements may overlay the manipulation movement of the joints to allow movement of the locked joints to effect the auxiliary movement or reconfiguration movement, while the movement of the locked joints to effect manipulation is canceled. Various configurations for devices and systems utilizing such methods are provided herein.|Systems and methods for cancellation of joint motion using the null-space
09676100|A trajectory along which a robot is driven by an actuator is calculated using a first constraint value. A target value of the robot and a second constraint value are used to calculate a target trajectory of the robot. A deflection correction amount of the robot is calculated. The target trajectory is corrected from the deflection correction amount to calculate a deflection correction trajectory. Performance of the actuator necessary to operate the robot based on the deflection correction trajectory is calculated. It is determined whether a first condition that the actuator performance is within a range of the first constraint value and a second condition that a difference between the first constraint value and the actuator performance is within a range of a predetermined value are satisfied. The deflection trajectory is output to the actuator if it is determined that the first condition and the second condition are satisfied.|Control apparatus of robot, robot, and program thereof
09676101|An operating program writing system includes a block storing part which stores a plurality of blocks constituting work units of an operating program, a selecting part which selects any number of blocks from the plurality of blocks, a displaying part which displays a path diagram including the any number of blocks and arguments which are contained in the blocks, a selecting and inputting part which selects at least one block among the any number of blocks and inputs the arguments of the at least one block, a running part which arranges run buttons for the respective any number of blocks and runs blocks which correspond to the run buttons, and a writing part which uses the any number of blocks and the input argument of the at least one block as the basis to write an operating program.|Operating program writing system
09676470|The disclosure herein provides for disbond resistant stringer runouts. Various aspects may be used independently or in combination to mitigate disbonding associated with the stiffener runout under operational loads. Aspects include a stiffener runout having rounded base flange corners. A recessed notch may be incorporated within the base flange to provide a flange termination point that is forward of the web termination point, allowing the web to terminate prior to the base flange. The web may be trimmed from a full height to a reduced height at the web termination point. The base flange may be co-bonded to the underlying composite structure via a scarf joint. Perimeter clamp radius fillers may be used to concentrate a clamping force around the perimeter of the base flange.|Disbond resistant composite stiffener runout
09676471|An edge morphing arrangement for an airfoil having upper and lower control surfaces is provided with an elongated edge portion that overlies the edge of the airfoil, the edge portion having a surface element having first and second edges that communicate with, and form extensions of, respective ones of the upper and lower control surfaces of the elongated airfoil. The surface elements are formed of deformable compliant material that extends cross-sectionally from the first surface element edge to an apex of the edge portion, and to the second surface element edge. There is additionally provided a driving link having first and second driving link ends, the first driving link end being coupled to the interior of one of the first and second rib portions. The second end is arranged to receive a morphing force, and the rib element is deformed in response to the morphing force.|Compliant structure design for varying surface contours
09676480|A flying machine capable of blocking light autonomously includes a machine body with a flight direction control module, a light sensor for detecting a sunshine angle, a position sensor for detecting the position of a moving object, and a flight movement adjuster to control the machine body to autonomously fly to a position linearly aligned with the sunlight and the moving object, so that the flying machine blocks between the sunlight and the moving object.|Flying machine capable of blocking light autonomously
09676481|A tether compensated unmanned aerial vehicle (UAV) is described. In one embodiment, the UAV includes a winch with a tether to lower an item from the UAV for delivery, a flight controller to control a flight path of the UAV, a tether compensation mechanism through which the tether extends, at least one sensor to identify movement in the tether, and a tether response controller. Based on movement identified in the tether, the tether response controller may determine a complementary response and direct the tether compensation mechanism to brace the tether against the movement. Thus, the tether compensation mechanism may stabilize sway or movement in the tether by moving against the sway or movement, which may help prevent the tether from undesirable swinging when lowering the item from the UAV for delivery, for example, or at other times.|Tether compensated airborne delivery
09676491|A method of managing evaporated cryogenic fuel in a storage tank of a cryogenic fuel system of an aircraft and an aircraft having at least one turbine engine providing propulsive force for the aircraft and a cryogenic fuel system including a passively cooled cryogenic fuel storage tank located within the aircraft, a pressure vent fluidly coupled to the cryogenic fuel storage tank and exhausting evaporated gas from the cryogenic fuel to define a natural gas vent stream, and a catalytic converter fluidly coupled to the pressure vent.|Aircraft and method of managing evaporated cryogenic fuel
09676500|A method of solar occultation, and in particular solar coronagraphy, employing a spacecraft 200 is disclosed. The spacecraft is controlled to achieve a position within a target zone relative to a celestial body, such as the Moon, such that the celestial body occults the Sun, allowing observations of the Sun or the space around the Sun, and in particular the Sun's corona, to be made from the spacecraft. The spacecraft has an orbit 40 around the Earth in a plane S, which like the Moon's orbit 20 in plane M, is inclined relative to the ecliptic plane E. Once inside the target zone, the spacecraft's orbit is controlled such that it remains in the target zone for longer than it would otherwise. This is achieved through the orbit within the target zone being at least partly non-Keplerian, when the orbit is under the influence of spacecraft translational thrust for example. The invention also extends to a method of controlling a spacecraft, to a spacecraft, and to a solar coronagraph comprising a spacecraft and a celestial body.|Method of solar occultation
09676501|A large area, deployable flexible blanket photovoltaic solar array architecture for high power applications is disclosed. The structure is a modularized and scalable solar array system that provides high power level scalability. The structure is comprised of repeating, similar modular deployable roll-out solar array wings mounted in an opposing manner and along the length of a rigid, strong and efficiently packaged deployable backbone structure. The deployable roll-out solar array building block modular "winglet" elements can be comprised of either a rolled or z-folded flexible photovoltaic blanket configuration, and their structural deployment is motivated by the elastic strain energy of longitudinal roll-out booms. The backbone structure is comprised of a stiff deployable beam structure articulated that is deployed perpendicular with respect to the spacecraft sidewall and latched out. Deployment of the "winglets" can be conducted once the articulated backbone structure has been deployed, is latched, and forms a rigid beam.|Space solar array architecture for ultra-high power applications
09676551|An autonomous transport robot for transporting a payload, the autonomous transport robot includes a payload bed having at least one reference datum surface and at least one payload justification device, the at least one payload justification device being configured to position a payload on the payload bed in substantial contact with the at least one reference datum surface to place the payload in a predetermined position on the payload bed.|Bot payload alignment and sensing
09677471|One of the objects of the invention is to provide a water-saving type advanced humid air gas turbine system (AHAT) that can decrease the amount of makeup water to be supplied from the outside, by reducing the amount of water consumed when the gas turbine system is starting up, shut down, or subjected to load rejection. The gas turbine system includes a compressor, the compressed air header for generating humidified combustion air, a combustor for generating combustion gas, and the turbine. When the gas turbine system is starting up, shut down or subjected to load rejection, steam coming from the heat recovery steam generator is recovered by blocking the first steam system and making the second steam system communicate with the heat recovery steam generator.|Advanced humid air gas turbine system
09677501|An exemplary nozzle having a variable internal exhaust area for a gas turbine engine can have a plurality of flap trains extending around a periphery of the gas turbine engine. Each flap train can include a convergent flap pivotally attached to an engine body and a divergent flap pivotally attached to the engine body downstream of the convergent flap. The nozzle can further have a fluid circuit in communication with the convergent and divergent flaps and configured to pivot the convergent and divergent flaps between a radially inward position and a radially outward position.|Three stream, variable area fixed aperture nozzle with pneumatic actuation
09677540|A yaw backup system is provided. The yaw backup system includes an energy storage medium for storing auxiliary power. The yaw backup system also includes a yaw controller for coordinating delivery of power from the energy storage medium to a yaw motor for controlling a yaw angle of a wind turbine during grid loss conditions. The yaw controller executes the steps of receiving wind direction signals over time from a sensor, altering a tolerance level of a wind turbine based on changes in the wind direction signals over time and controlling delivery of power to the yaw motor from the auxiliary power of the energy storage medium based on the tolerance level to control the yaw angle for reducing a load on the wind turbine induced by wind.|System and method for providing yaw backup to a wind farm
09677541|The invention is based on the problem of creating an additional device to act as a "secondary emergency device" in the case that one or more standard emergency devices fail to adjust the blade angle of one or multiple rotor blades into a position of power limitation. The method of braking a wind turbine in an emergency by adjusting the rotor blades for wind turbines with power control via the principle of pitch control or active stall control and of holding the position of a rotor blade for each rotor blade with at least one actuator and at least one holding brake is a redundant measure for an emergency. This enables one or more holding brakes to open depending on the rotor-blade direction that is required and to close or to be kept closed when an adjustment of a rotor-blade direction is not desired.|Method and apparatus for braking a wind turbine in case of emergency
09678161|The disclosure relates to checking a rotational speed relay of a wind turbine. The wind turbine comprises a rotational speed sensor for the rotational speed of a shaft. The rotational speed sensor outputs a rotational speed signal, which is fed to a signal input of the rotational speed relay. According to disclosure, the rotational speed signal fed to the rotational speed relay is first inactivated. Then a signal generator is activated, which produces a check signal equivalent to the rotational speed signal. The check signal is fed to the signal input of the rotational speed relay. The signal generator is operated with a check signal that is beyond a rotational speed limit, and a check is performed to determine if the rotational speed relay generates a switch-off command. This allows the functional capability of the rotational speed relay to be checked reliably and at low cost.|Wind energy installation and method for testing a rotational speed relay of a wind energy installation
09679051|Aspects of the present disclosure are directed toward evaluating an answer sequence. Aspects are directed toward receiving a set of answer sequences including a first answer sequence. The first answer sequence may have a first set of answers. Aspects are also directed toward identifying a set of scores coupled with the first set of answers. Aspects are also directed toward determining, based on a subject matter corresponding to the first answer sequence, a set of evaluation rules. Aspects are also directed toward generating, based on the set of scores and the set of evaluation rules, a sequence evaluation score for the first answer sequence.|Answer sequence evaluation
09679241|A thermodynamic random access memory includes one or more AHaH (Anti-Hebbian and Hebbian) node wherein read out of data is accomplished via a common summing electrode through memristive components and wherein multiple input cells are simultaneously active. A ktRAM architecture comprising a memory wherein each input synapse or "bit" of the memory interacts on or with a common electrode through a common "dendritic" electrode, and wherein each input can be individually driven. Each input constitutes a memory cell driving a common electrode.|Thermodynamic random access memory for neuromorphic computing utilizing AHaH (anti-hebbian and hebbian) and memristor components
09679250|An efficient fact checking system analyzes and determines the factual accuracy of information and/or characterizes the information by comparing the information with source information. The efficient fact checking system automatically monitors information, processes the information, fact checks the information efficiently and/or provides a status of the information.|Efficient fact checking method and system
09679251|A knowledge-based system under uncertainties and/or incompleteness, referred to as augmented knowledge base (AKB) is provided, including constructing, reasoning, analyzing and applying AKBs by creating objects in the form E?A, where A is a rule in a knowledgebase and E is a set of evidences that supports the rule A. A reasoning scheme under uncertainties and/or incompleteness is provided as augmented reasoning (AR).|Augmented knowledge base and reasoning with uncertainties and/or incompleteness
09679260|In one embodiment, a method for training an adaptive filter includes receiving, by a processor from a device, an input signal and a training reference signal and determining a correlation matrix in accordance with the input signal, the training reference signal, and a filter type. The method also includes determining a plurality of coefficients in accordance with the correlation matrix and adjusting the adaptive filter in accordance with the plurality of coefficients.|System and method for adaptive filter
09679261|A machine learning classifier based procurement system determines a price risk score, a supplier risk score, and an item risk score for bids based on classifications performed by a machine learning classifier. The scores are compared to respective thresholds to determine if any of the bids are associated with a high-risk procurement.|Machine learning classifier that compares price risk score, supplier risk score, and item risk score to a threshold
09679270|Systems, methods and devices for the automated delivery of goods form one to another using a robotic tug and accompanying cart. A computer within the tug or cart stores an electronic map of the building floor plan and intended paths for the tug to take when traversing from one location to the next. During the delivery, a variety of different sensors and scanners gather data that is used to avoid obstacles and/or adjust the movement of the tug in order to more closely follow the intended path. The system preferably includes both wired and wireless networks that allow one or more tugs to communicate with a tug base station, a primary network located at the site of the delivery and a remote host center that monitors the status and data collected by the tugs.|Robotic ordering and delivery system software and methods
09679301|A method, apparatus and computer program product are provided for generating and utilizing a user pattern profile. In this regard, the user pattern profile can include information regarding service selections made on a user node and movements of a user. The generated user pattern profile can compared to a threshold profile, and based on the results of the comparison, an action can be undertaken.|Method, apparatus and computer program product for developing, aggregating, and utilizing user pattern profiles
09679491|Various embodiments for conducting proxy teaching for learning devices within a decentralized system, including an embodiment method with operations for obtaining, by a teacher signaling device, objectives data related to activities of one or more of the learning devices, generating, by the teacher signaling device, teaching routines based on the obtained objectives data, and broadcasting, by the teacher signaling device, teaching signals configured to teach one or more of the learning devices based on the generated teaching routines. Other embodiments may obtain objectives data by requesting reflex information from the learning devices or intercepting event report messages transmitted by the learning devices. Other embodiments may include broadcasting discovery signals to identify nearby learning devices and modifying teaching routines when objectives of the generated teaching routines cannot be achieved. Other embodiments may include transmitting an authorization request to a user device to determine whether to broadcast teaching signals.|Signaling device for teaching learning devices
09679691|An improved transformer arrangement of a wind turbine is provided. A wind turbine transformer arrangement comprises a transformer that is arranged in the wind turbine. The transformer comprises a housing. The transformer housing is filled with an oil. The transformer arrangement comprises at least one decompression chamber and the interior of the transformer housing is connected to the interior of the decompression chamber by a pressure release tube in a way that an increase in the pressure in the transformer housing due to a malfunction of the transformer is transferred through the pressure release tube into the decompression chamber.|Wind turbine transformer arrangement
09680350|The present invention provides a method and apparatus for separating air and generating electrical power. A compressed air stream produced in a main air compressor is introduced into an air separation unit that cryogenically rectifies the air into component products. During turndown conditions of the air separation unit, a combustion air stream formed from all or part of the compressed air stream is introduced into a combustor in which a fuel is combusted to produce a heated and pressurized combustion stream. Such stream is introduced to a turbine connected to an electrical generator to generate electrical power. The combustion air stream can be saturated with moisture to increase power output. Further, the combustion air stream can also be preheated with an exhaust of a gas turbine.|Air separation power generation integration
09681270|Methods and systems of localizing a device are presented. In an example method, a communication signal from a device is received by a wireless reference point during a period of time. A sequence of values is generated from the communication signal, as received by the wireless reference point, during the period of time. The sequence of values is supplied to a learning model configured to generate an output based on past values of the sequence of values and at least one predicted future value of the sequence of values. The current location of the device is estimated during the period of time based on the output of the learning model.|Device localization based on a learning model
09681920|Robotic system and method for positioning an energy applicator extending from a surgical instrument. The robotic system includes a surgical manipulator operable in a manual mode or a semi-autonomous mode. The surgical manipulator moves the energy applicator along a tool path in the semi-autonomous mode, monitors output of a force/torque sensor as the energy applicator moves along the tool path, and reorients the surgical instrument based on the output in response to a user applying reorienting forces and torques to the surgical instrument.|Robotic system and method for reorienting a surgical instrument moving along a tool path
09681921|The invention relates to a method for controlling a robot system (1) for minimally invasive surgery, which comprises at least two robots (2, 3). According to the invention a port (7), which serves to provide access into the body of a patient (5), is operated by means of a first robot (2), and a surgical instrument (10), which is designed to be introduced into the body of the patient (5) through the port (7), is operated by means of a second robot (3). The separate operation of the port (7) and the surgical instrument (10) makes it possible to guide the port (7) synchronously to a movement of the surgical instrument (10), to damp the movement of the surgical instrument (10) or to block the movement by fixing the port (7).|Robot system and method for controlling a robot system for minimally invasive surgery
09682480|A machine has at least one actuated mechanism is remotely located from a control station. A two way real-time communication link connects the machine location with the control station. A controller at the machine location has program code that is configured to determine from data from one or more sensors at the machine location if an actual fault has occurred in the machine when the machine is performing its predetermined function and to determine for an actual fault one or more types for the fault and transmit the one or more fault types to the control station for analysis. The code in the controller is configured to be a preprogrammed trap routine specific to the machine function that is automatically executed when an error in machine operation is detected at the machine location. The controller also has a default trap routine that is executed when specific routine does not exist.|Teleoperation of machines having at least one actuated mechanism and a fault detection and recovery system
09682481|A control system may perform functions including (i) storing data indicating an association between an optical identifier and a first robot, (ii) sending, to the first robot, data encoding the optical identifier for display by the first robot, and (iii) after sending the data encoding the optical identifier, sending, to a second robot, the data indicating the association between the optical identifier and the first robot. In some examples, the first robot may receive, from the control system, data encoding a second optical identifier of the first robot so that the first robot may display the second optical identifier instead of the first optical identifier. In some examples, a first robot may capture an image of an indication of a priority status of a second robot and perform an action based on comparing a first priority status of the first robot to the second priority status of the second robot.|Communication of information regarding a robot using an optical identifier
09682770|An aircraft landing gear including an axle and a wheel (5) that includes a rim (6) mounted to turn on the axle about a first rotation axis (X1), the landing gear further comprising an actuator (12) for driving the wheel (5) in rotation. The rim (6) includes obstacles (33) that project from a lateral face (F) of the rim and the driving actuator includes a lead screw (32) mounted to turn about a second rotation axis (X2) perpendicular to the first rotation axis (X1) and adapted to cooperate with the obstacles of the rim to drive the wheel in rotation.|Aircraft landing gear equipped with wheel driving means
09682771|Controlling rotor blades of a rotor assembly includes determining an azimuthal position of a rotor assembly and identifying a lateral control command value, a longitudinal control command value and a collective control command value of a rotor assembly control system. A sine value and a cosine value of the azimuthal position are calculated and separate blade commands signals are generated for each separate blade of the rotor assembly to control a position of each blade independent of each other blade. The blade command signals are generated based on combining the sine and cosine values of the azimuthal position with the lateral control command value, the longitudinal control command value and the collective control command value.|Controlling rotor blades of a swashplateless rotor
